Authors,Title,Journal,Volume,Number,Pages,Year,Publisher,Link,Count
"Hu, Xinli; Kim, Hyun; Raj, Towfique; Brennan, Patrick J; Trynka, Gosia; Teslovich, Nikola; Slowikowski, Kamil; Chen, Wei-Min; Onengut, Suna; Baecher-Allan, Clare;",Regulation of gene expression in autoimmune disease loci and the genetic basis of proliferation in CD4+ effector memory T cells,PLoS Genetics,10,6,e1004404,2014,Public Library of Science,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004404,28
"De Jager, Philip L; Srivastava, Gyan; Lunnon, Katie; Burgess, Jeremy; Schalkwyk, Leonard C; Yu, Lei; Eaton, Matthew L; Keenan, Brendan T; Ernst, Jason; McCabe, Cristin;","Alzheimer's disease: early alterations in brain DNA methylation at ANK1, BIN1, RHBDF2 and other loci",Nature Neuroscience,17,9,1156,2014,Nature Publishing Group,https://www.nature.com/articles/nn.3786,27
"Ye, Chun Jimmie; Feng, Ting; Kwon, Ho-Keun; Raj, Towfique; Wilson, Michael T; Asinovski, Natasha; McCabe, Cristin; Lee, Michelle H; Frohlich, Irene; Paik, Hyun-il;",Intersection of population variation and autoimmunity genetics in human T cell activation,Science,345,6202,1254665,2014,American Association for the Advancement of Science,http://science.sciencemag.org/content/345/6202/1254665,26
"Mode, Charles J; Sleeman, Candace K; Raj, Towfique;",On the inclusion of self regulating branching processes in the working paradigm of evolutionary and population genetics,Frontiers in Genetics,4,,11,2013,Frontiers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3575575/,25
"Raj, Towfique; Kuchroo, Manik; Replogle, Joseph M; Raychaudhuri, Soumya; Stranger, Barbara E; De Jager, Philip L;",Common risk alleles for inflammatory diseases are targets of recent positive selection,The American Journal of Human Genetics,92,4,517-529,2013,Cell Press,https://www.sciencedirect.com/science/article/pii/S0002929713001092?via%3Dihub,24
"Cui, Jing; Stahl, Eli A; Saevarsdottir, Saedis; Miceli, Corinne; Diogo, Dorothee; Trynka, Gosia; Raj, Towfique; Mirkov, MaÅça UmiÑæeviÑæ; Canhao, Helena; Ikari, Katsunori;",Genome-wide association study and gene expression analysis identifies CD84 as a predictor of response to etanercept therapy in rheumatoid arthritis,PLoS Genetics,9,3,e1003394,2013,Public Library of Science,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003394,23
"Reitz, Christiane; Jun, Gyungah; Naj, Adam; Rajbhandary, Ruchita; Vardarajan, Badri Narayan; Wang, Li-San; Valladares, Otto; Lin, Chiao-Feng; Larson, Eric B; Graff-Radford, Neill R;","Variants in the ATP-binding cassette transporter (ABCA7), apolipoprotein E4, and the risk of late-onset Alzheimer's disease in African Americans",The Journal of the American Medical Association,309,14,1483-1492,2013,American Medical Association,https://jamanetwork.com/journals/jama/fullarticle/1677372,22
"Gokcumen, Omer; Zhu, Qihui; Mulder, Lubbertus CF; Iskow, Rebecca C; Austermann, Christian; Scharer, Christopher D; Raj, Towfique; Boss, Jeremy M; Sunyaev, Shamil; Price, Alkes;",Balancing selection on a regulatory region exhibiting ancient variation that predates human-Neandertal divergence,PLoS Genetics,9,4,e1003404,2013,Public Library of Science,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003404,21
"Bradshaw, Elizabeth M; Chibnik, Lori B; Keenan, Brendan T; Ottoboni, Linda; Raj, Towfique; Tang, Anna; Rosenkrantz, Laura L; Imboywa, Selina; Lee, Michelle; Von Korff, Alina;",CD33 Alzheimer's disease locus: altered monocyte function and amyloid biology,Nature Neuroscience,16,7,848,2013,Nature Publishing Group,https://www.nature.com/articles/nn.3435,20
"Stranger, Barbara E; Raj, Towfique;",Genetics of human gene expression,Current Opinion in Genetics & Development,23,6,627-634,2013,Elsevier Current Trends,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2989458/,19
"Patsopoulos, Nikolaos A; Barcellos, Lisa F; Hintzen, Rogier Q; Schaefer, Catherine; Van Duijn, Cornelia M; Noble, Janelle A; Raj, Towfique; Gourraud, Pierre-Antoine; Stranger, Barbara E; Oksenberg, Jorge;",Fine-mapping the genetic association of the major histocompatibility complex in multiple sclerosis: HLA and non-HLA effects,PLoS Genetics,9,11,e1003926,2013,Public Library of Science,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003926,18
"Raj, Towfique; Ryan, Katie J; Replogle, Joseph M; Chibnik, Lori B; Rosenkrantz, Laura; Tang, Anna; Rothamel, Katie; Stranger, Barbara E; Bennett, David A; Evans, Denis A;",CD33: increased inclusion of exon 2 implicates the Ig V-set domain in Alzheimer's disease susceptibility,Human Molecular Genetics,23,10,2729-2736,2013,Oxford University Press,https://academic.oup.com/hmg/article/23/10/2729/615348,17
"De Jager, Philip L; Shulman, Joshua M; Chibnik, Lori B; Keenan, Brendan T; Raj, Towfique; Wilson, Robert S; Yu, Lei; Leurgans, Sue E; Tran, Dong; Aubin, Cristin;",A genome-wide scan for common variants affecting the rate of age-related cognitive decline,Neurobiology of Aging,33,5,1017. e1-1017. e15,2012,Elsevier,https://www.sciencedirect.com/science/article/pii/S019745801100385X?via%3Dihub,16
"Qutob, Nouar; Balloux, Francois; Raj, Towfique; Liu, Hua; De Procé, Sophie Marion; Trowsdale, John; Manica, Andrea;",Signatures of historical demography and pathogen richness on MHC class I genes,Immunogenetics,64,3,165-175,2012,Springer-Verlag,https://link.springer.com/article/10.1007%2Fs00251-011-0576-y,15
"Brown, Kim H; Dobrinski, Kimberly P; Lee, Arthur S; Gokcumen, Omer; Mills, Ryan E; Shi, Xinghua; Chong, Wilson WS; Chen, Jin Yun Helen; Yoo, Paulo; David, Sthuthi;",Extensive genetic diversity and substructuring among zebrafish strains revealed through copy number variant analysis,Proceedings of the National Academy of Sciences,109,2,529-534,2012,National Acad Sciences,https://www.pnas.org/content/109/2/529.long,14
"Keenan, Brendan T; Shulman, Joshua M; Chibnik, Lori B; Raj, Towfique; Tran, Dong; Sabuncu, Mert R; Alzheimer's Disease Neuroimaging Initiative; Allen, April N; Corneveaux, Jason J; Hardy, John A;",A coding variant in CR1 interacts with APOE-4 to influence cognitive decline,Human Molecular Genetics,21,10,2377-2388,2012,Oxford University Press,https://academic.oup.com/hmg/article/21/10/2377/2900785,13
"Raj, Towfique; Shulman, Joshua M; Keenan, Brendan T; Chibnik, Lori B; Evans, Denis A; Bennett, David A; Stranger, Barbara E; De Jager, Philip L;",Alzheimer's disease susceptibility loci: evidence for a protein network under natural selection,The American Journal of Human Genetics,90,4,720-726,2012,Cell Press,https://www.sciencedirect.com/science/article/pii/S0002929712001073?via%3Dihub,12
"Stranger, Barbara E; Montgomery, Stephen B; Dimas, Antigone S; Parts, Leopold; Stegle, Oliver; Ingle, Catherine E; Sekowska, Magda; Smith, George Davey; Evans, David; Gutierrez-Arcelus, Maria;",Patterns of cis regulatory variation in diverse human populations,PLoS Genetics,8,4,e1002639,2012,Public Library of Science,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002639,11
"Lim, Andrew SP; Chang, Anne-Marie; Shulman, Joshua M; Raj, Towfique; Chibnik, Lori B; Cain, Sean W; Rothamel, Katherine; Benoist, Christophe; Myers, Amanda J; Czeisler, Charles A;",A common polymorphism near PER1 and the timing of human behavioral rhythms,Annals of Neurology,72,3,324-334,2012,"Wiley Subscription Services, Inc., A Wiley Company Hoboken",https://onlinelibrary.wiley.com/doi/full/10.1002/ana.23636,10
"Dimas, Antigone; Nica, Alexandra; Montgomery, Stephen; Stranger, Barbara; Raj, Towfique; Buil, Alfonso; Giger, Thomas; Lappalainen, Tuuli; Gutierrez-Arcelus, Maria; McCarthy, Mark;",Sex-biased genetic effects on gene regulation in humans,Genome Research,,,gr. 134981.111,2012,Cold Spring Harbor Lab,https://genome.cshlp.org/content/22/12/2368.short,9
"Stranger, Barbara E; Stahl, Eli A; Raj, Towfique;",Progress and promise of genome-wide association studies for human complex trait genetics,Genetics,187,2,367-383,2011,Genetics,http://www.genetics.org/content/187/2/367,8
"Raj, Towfique; Shulman, Joshua; Chibnik, Lori; Keenan, Brendan; Stranger, Barbara; Evans, Denis; Bennett, David; De Jager, Philip;",Alzheimer's Disease Susceptibility Loci: Evidence for Natural Selection and Altered Gene Expression,Alzheimer's & Dementia: The Journal of the Alzheimer's Association,7,4,S183,2011,Elsevier,https://www.alzheimersanddementia.com/article/S1552-5260(11)00645-5/abstract,7
"Mode, Charles J; Raj, Towfique; Sleeman, Candace K;",Monte Carlo implementations of two sex density dependent branching processes and their applications in evolutionary genetics,"Applications of Monte Carlo Methods in Biology, Medicine and Other Fields of Science",,,,2011,InTech,https://www.intechopen.com/books/applications-of-monte-carlo-methods-in-biology-medicine-and-other-fields-of-science/monte-carlo-implementations-of-two-sex-density-dependent-branching-processes-and-their-applications-,6
"Shulman, Joshua M; Keenan, Brendan T; Chibnik, Lori B; Raj, Towfique; Tran, Dong; Aubin, Cristin; Corneveaux, Jason; Huentelman, Matthew; Reiman, Eric; Evans, Denis A;",Functional Fine Mapping of the CR1 Locus Identifies a Causal Variant for Alzheimer's Disease Susceptibility,Neurology,76,9,A642-A642,2011,"LIPPINCOTT WILLIAMS & WILKINS 530 WALNUT ST, PHILADELPHIA, PA 19106-3621 USA",https://scholar.google.com/scholar?cluster=14081935130468473005&hl=en&oi=scholarr,5
"Kong, X; Murphy, K; Raj, T; He, C; White, PS; Matise, TC;",A combined linkage-physical map of the human genome,The American Journal of Human Genetics,75,6,1143-1148,2004,Cell Press,https://www.sciencedirect.com/science/article/pii/S0002929707600834?via%3Dihub,4
"Murphy, Kevin; Raj, Towfique; Winters, R Scott; White, Peter S;",me-PCR: a refined ultrafast algorithm for identifying sequence-defined genomic elements,Bioinformatics,20,4,588-590,2004,Oxford University Press,https://academic.oup.com/bioinformatics/article/20/4/588/192673,3
"White, PS; Murphy, K; Raj, T; Winters, RS;",Advancement of electronic PCR,The American Journal of Human Genetics,73,5,423-423,2003,"UNIV CHICAGO PRESS 1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",https://scholar.google.com/scholar?cluster=15831890153401662129&hl=en&oi=scholarr,2
"Kong, X; Murphy, K; Raj, T; He, C; White, PS; Matise, TC;",A combined linkage-physical map of the human genome.,The American Journal of Human Genetics,73,5,196-196,2003,"UNIV CHICAGO PRESS 1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",https://scholar.google.com/scholar?cluster=14711885844060532132&hl=en&oi=scholarr,1
